yrpub,count,neighborhood,collection,type,age,category1,category2,languages,originalLang
1998,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1990,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,,
1992,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1984,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1995,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1998,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1987,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1975,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1979,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1999,1,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
2012,1,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
2001,1,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1999,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2012,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1997,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1993,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1988,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2017,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2007,1,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1988,1,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1994,1,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1979,1,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
2003,1,Northgate,Northgate3,Fiction,Adult,Novel,History,English,English
2013,1,Northgate,Northgate3,Fiction,Adult,Novel,History,English,English
2019,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1998,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2014,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2005,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2005,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1993,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1970,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,
2010,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2010,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1987,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2004,1,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2013,1,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2013,1,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2015,1,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2005,1,Northgate,Northgate3,Nonfiction,Adult,Reference,Null,English,English
1975,1,Northgate,Northgate3,Nonfiction,Adult,Reference,Null,English,English
1988,1,Northgate,Northgate3,Nonfiction,Adult,Reference,Self Help/Health,English,English
2010,1,Northgate,Northgate3,Nonfiction,Adult,Religion,Null,English,English
1983,1,Northgate,Northgate3,Nonfiction,Adult,Religion,Null,English,Chinese
1998,1,Northgate,Northgate3,Fiction,Adult,Romance,Null,English,English
2016,1,Northgate,Northgate3,Fiction,Adult,Romance,Null,English,
1994,1,Northgate,Northgate3,Nonfiction,Adult,Science,Cultural Studies,English,English
1998,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1995,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2006,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1987,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2004,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2004,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1980,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2003,1,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2016,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Cultural Studies,English,English
2011,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Cultural Studies,English,English
1999,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
2012,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
2014,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,
1999,1,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
1964,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,
1969,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,
2010,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,English
1989,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,English
1989,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,
1967,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,English
1968,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,
2013,1,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2011,1,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2010,1,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,Northgate,Northgate3,Nonfiction,Adult,Travel,Null,English,English
1995,1,Northgate,Northgate3,Nonfiction,Adult,Science,Null,,
1992,1,Northgate,Northgate4,Nonfiction,Adult,Cookery,Null,English,
2007,1,Northgate,Northgate4,Nonfiction,Adult,Cookery,Self Help/Health,English,English
2009,1,Northgate,Northgate4,Nonfiction,Adult,Cultural Studies,Null,English,English
1990,1,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1978,1,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1995,1,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1966,1,Northgate,Northgate4,Nonfiction,Adult,Nature/Gardening,Null,English,English
2000,1,Northgate,Northgate4,Fiction,Adult,Novel,Null,English,English
1985,1,Northgate,Northgate4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2003,1,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2013,1,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,Northgate,Northgate4,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,Northgate,Northgate4,Fiction,Adult,Thriller/Suspense,Null,English,English
1985,1,Northgate,Northgate5,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2018,1,Northgate,Northgate5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1954,1,Northgate,Northgate5,Fiction,Adult,Classics,Novel,English,English
1993,1,Northgate,Northgate5,Fiction,Adult,Classics,Null,English,English
2016,1,Northgate,Northgate5,Nonfiction,Adult,Cultural Studies,Null,English,English
1985,1,Northgate,Northgate5,Fiction,Adult,Drama,Null,English,English
2017,1,Northgate,Northgate5,Fiction,Adult,Mystery,Null,English,English
2004,1,Northgate,Northgate5,Fiction,Adult,Mystery,Null,English,English
2004,1,Northgate,Northgate5,Fiction,Adult,Novel,Biography,English,English
2007,1,Northgate,Northgate5,Fiction,Adult,Novel,History,English,English
1998,1,Northgate,Northgate5,Fiction,Adult,Novel,History,English,English
2017,1,Northgate,Northgate5,Fiction,Adult,Novel,Null,English,English
1986,1,Northgate,Northgate5,Nonfiction,Adult,Reference,Null,English,English
1963,1,Northgate,Northgate5,Nonfiction,Adult,Religion,Self Help/Health,English,English
2010,1,Northgate,Northgate5,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,Northgate,Northgate5,Fiction,Adult,Thriller/Suspense,Null,English,English
1967,1,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1980,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Drama,Null,,
2002,1,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,History,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Mystery,Null,English,English
2011,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
1997,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,novel,Null,English,English
1987,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2019,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2000,1,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Romance,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Self Help/Health,Crafts,English,English
1997,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Drama,Null,English,
1992,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1995,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1991,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1994,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
2011,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1988,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
2013,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1996,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1998,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Religion,Null,English,English
2003,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Romance,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Romance,Null,English,English
1985,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2003,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,
2016,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1980,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
2011,1,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Thriller/Suspense,Null,English,English
2012,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Poetry,Null,English,
2014,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Business/Technology,Null,English,
1967,1,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,
2012,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1961,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cookery,Null,English,English
1977,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,English,English
1986,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Cultural Studies,English,English
2003,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1985,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1984,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1975,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,
2007,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2010,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2013,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
1998,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
1996,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2011,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Religion,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2002,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2000,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,,English
2003,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1988,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Sports,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Travel,Null,English,German
2013,1,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Travel,Null,English,English
2012,1,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Anthology/Essays/Short stories,Null,English,
2018,1,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2011,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2002,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
1998,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
1998,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,"English, Achinese",English
1966,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,,
2017,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2012,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2010,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2006,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2009,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
1990,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Poetry,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Romance,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Romance,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Self Help/Health,Null,English,English
1998,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2002,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2010,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Novel,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,English,English
1992,1,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,English
1996,1,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,
1978,1,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
1992,1,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
1973,1,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Travel,Null,,
2017,1,Queen Anne,QueenAnne1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1949,1,Queen Anne,QueenAnne1,Nonfiction,Adult,Cookery,Null,,
1971,1,Queen Anne,QueenAnne1,Nonfiction,Adult,Cultural Studies,Null,English,English
1987,1,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2018,1,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2012,1,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2013,1,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
1987,1,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2010,1,Queen Anne,QueenAnne1,Fiction,Adult,Thriller/Suspense,Null,English,English
1992,1,Queen Anne,QueenAnne1,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Anthology,English,English
2018,1,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,English,English
1998,1,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,English,English
2014,1,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1984,1,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1984,1,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1999,1,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
2009,1,Queen Anne,QueenAnne2,Fiction,Adult,Thriller/Suspense,Null,English,English
2001,1,Queen Anne,QueenAnne3,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1988,1,Queen Anne,QueenAnne3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2009,1,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,English,English
2004,1,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,English,English
1994,1,Queen Anne,QueenAnne3,Fiction,Adult,Mystery,Null,English,English
2018,1,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
2004,1,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
2001,1,Queen Anne,QueenAnne3,Fiction,Adult,novel,Null,English,English
2009,1,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
1990,1,Queen Anne,QueenAnne3,Fiction,Adult,Romance,Null,English,English
2003,1,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1999,1,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2006,1,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,English,English
1979,1,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
2002,1,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
1998,1,Queen Anne,QueenAnne4,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2015,1,Queen Anne,QueenAnne4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2009,1,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Novel,Spanish,Spanish
1977,1,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Religion,English,English
2018,1,Queen Anne,QueenAnne4,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,Queen Anne,QueenAnne4,Fiction,Adult,Drama,Null,English,English
2004,1,Queen Anne,QueenAnne4,Nonfiction,Adult,Graphic/Manga,Null,English,English
2000,1,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
1991,1,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
2013,1,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
1996,1,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
2008,1,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
2002,1,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
1996,1,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
2000,1,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Religion,English,English
1976,1,Queen Anne,QueenAnne4,Fiction,Adult,Romance,Null,English,English
2003,1,Queen Anne,QueenAnne4,Fiction,Adult,Romance,Null,English,English
2011,1,Queen Anne,QueenAnne4,Fiction,Adult,SciFi/Fantasy,Null,English,English
1994,1,Queen Anne,QueenAnne4,Nonfiction,Adult,Self Help/Health,Null,English,English
2000,1,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2005,1,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
1985,1,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2000,1,Queen Anne,QueenAnne5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2000,1,Queen Anne,QueenAnne5,Fiction,Adult,Classics,Null,English,English
2006,1,Queen Anne,QueenAnne5,Nonfiction,Adult,Cookery,Null,English,English
1996,1,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2006,1,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2014,1,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2004,1,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
1998,1,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
2011,1,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
2018,1,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
1982,1,Queen Anne,QueenAnne5,Fiction,Adult,SciFi/Fantasy,Null,English,English
2010,1,Queen Anne,QueenAnne5,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,Queen Anne,QueenAnne5,Nonfiction,Adult,Self Help/Health,Null,English,English
1980,1,Queen Anne,QueenAnne5,Nonfiction,Adult,Sports,Null,,
2002,1,Queen Anne,QueenAnne5,Fiction,Adult,Thriller/Suspense,Null,English,English
2017,1,Ravenna,Ravenna1,Nonfiction,Adult,History,Null,English,English
2000,1,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
1993,1,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
2000,1,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
2011,1,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
1976,1,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,English,English
1976,1,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,English,English
2019,1,Ravenna,Ravenna1,Fiction,Adult,Poetry,Null,English,English
2007,1,Ravenna,Ravenna1,Nonfiction,Adult,Religion,Null,English,English
2013,1,Ravenna,Ravenna1,Fiction,Adult,SciFi/Fantasy,Null,English,English
2019,1,Ravenna,Ravenna1,Fiction,Adult,Thriller/Suspense,Null,English,English
1989,1,Ravenna,Ravenna2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
